Label	Correlation	Normal Meth	Tumor Meth	Call.TM.LT.0.25	Confidence.Score.TM.LT.0.25	Call.0.25.GE.TM.LE.0.75	Confidence.Score.0.25.GE.TM.LE.0.75	Call.TM.GT.0.75	Confidence.Score.TM.GT.0.75
condition01	SNC	CUN	CUT	UT	4	ES	1	ES	2
condition02	SNC	CUN	VMT	UT	3	ES	3	ES	4
condition03	SNC	CUN	IMT	UT	3	ES	2	ES	3
condition04	SNC	CUN	CMT	UT	3	ES	3	ES	4
condition05	SNC	VMN	CUT	ML	1	UC	0	ES	1
condition06	SNC	VMN	VMT	UT	3	UC	0	ES	1
condition07	SNC	VMN	IMT	UT	3	UC	0	ES	1
condition08	SNC	VMN	CMT	UT	2	UC	0	ES	2
condition09	SNC	IMN	CUT	ML	2	UC	0	ES	1
condition10	SNC	IMN	VMT	UT	3	UC	0	ES	1
condition11	SNC	IMN	IMT	UT	3	UC	0	ES	1
condition12	SNC	IMN	CMT	UT	1	UC	0	ES	2
condition13	SNC	CMN	CUT	ML	4	ML	3	MT	2
condition14	SNC	CMN	VMT	ML	4	ML	3	MT	3
condition15	SNC	CMN	IMT	ML	3	ML	2	MT	3
condition16	SNC	CMN	CMT	ML	1	ML	2	MT	4
condition17	WNC	CUN	CUT	UT	4	MG	2	MG	2
condition18	WNC	CUN	VMT	UT	3	ES	2	ES	3
condition19	WNC	CUN	IMT	UT	3	ES	1	ES	2
condition20	WNC	CUN	CMT	UT	3	ES	2	ES	3
condition21	WNC	VMN	CUT	ML	1	UC	0	MT	2
condition22	WNC	VMN	VMT	UT	3	UC	0	MT	4
condition23	WNC	VMN	IMT	UT	3	UC	0	MT	4
condition24	WNC	VMN	CMT	UT	2	UC	0	MT	4
condition25	WNC	IMN	CUT	ML	2	UC	0	MT	2
condition26	WNC	IMN	VMT	UT	3	UC	0	MT	4
condition27	WNC	IMN	IMT	UT	3	UC	0	MT	4
condition28	WNC	IMN	CMT	UT	1	UC	0	MT	4
condition29	WNC	CMN	CUT	ML	4	ML	3	MT	2
condition30	WNC	CMN	VMT	ML	4	ML	3	MT	3
condition31	WNC	CMN	IMT	ML	3	ML	2	MT	3
condition32	WNC	CMN	CMT	ML	1	ML	2	MT	4
condition33	NNC	CUN	CUT	UT	4	MG	2	MG	2
condition34	NNC	CUN	VMT	UT	3	MG	3	MG	3
condition35	NNC	CUN	IMT	UT	3	MG	2	MG	3
condition36	NNC	CUN	CMT	UT	3	MG	3	MG	4
condition37	NNC	VMN	CUT	ML	1	UC	0	MT	2
condition38	NNC	VMN	VMT	UT	3	UC	0	MT	4
condition39	NNC	VMN	IMT	UT	3	UC	0	MT	4
condition40	NNC	VMN	CMT	UT	2	UC	0	MT	4
condition41	NNC	IMN	CUT	ML	2	UC	0	MT	2
condition42	NNC	IMN	VMT	UT	3	UC	0	MT	4
condition43	NNC	IMN	IMT	UT	3	UC	0	MT	4
condition44	NNC	IMN	CMT	UT	1	UC	0	MT	4
condition45	NNC	CMN	CUT	ML	4	ML	3	MT	2
condition46	NNC	CMN	VMT	ML	4	ML	3	MT	3
condition47	NNC	CMN	IMT	ML	3	ML	2	MT	3
condition48	NNC	CMN	CMT	ML	1	ML	2	MT	4

